objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
9705642	0	object/static/flora/flora_decd_endr_destree_dead.iff	0	145.8669	11.394	331.202	0.63365	-0.366151	-0.47178	0.491778		$|
9705648	0	object/static/flora/flora_bush_endor_rainbowbush.iff	0	145.3936	11.0527	332.948	0.995004	0	0.0998334	0		$|
9705683	0	object/static/structure/dantooine/dant_boundary_post.iff	0	484.167	200	2028.96	0.444662	0	0.895699	0		$|
9705684	0	object/static/structure/general/skeleton_human_head.iff	0	484.392	200	2028.15	-0.136119	-0.00399624	0.987352	0.0811942		$|
9705685	0	object/static/structure/general/skeleton_human_head.iff	0	485.265	200	2028.32	0.260868	-0.403988	0.846452	0.228604		$|
9705686	0	object/static/structure/general/skeleton_human_head.iff	0	484.903	199.937	2029.35	0.770253	-0.38234	0.473819	0.189793		$|
9705687	0	object/static/structure/general/streetlamp_small_red_style_01.iff	0	484.772	198.324	2028.66	1	0	0	0		$|
2055795	0	object/tangible/poi/spawnegg/exterior_spawnegg.iff	0	486.290527	200	2030.174316	1	0	0	0		$|
1054547	0	object/tangible/collection/shock_trooper_chest.iff	0	970.9227	205.762	1231.4	0.996157	-0.0871524	-0.000760568	-0.00869333		$|
1975380	0	object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	0	1104.776	200	1287.2	-0.647576	0	0.762001	0		$|
1975381	0	object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	0	1102.892	200	1287.06	0.804506	0	0.593945	0		$|
1975382	0	object/static/structure/tatooine/debris_tatt_crate_1.iff	0	1102.073	200	1287.11	0.337226	0	0.941424	0		$|
1975383	0	object/static/structure/tatooine/debris_tatt_crate_1.iff	0	1106.133	200	1287.21	0.932816	0	0.360353	0		$|
8715460	0	object/building/military/military_outpost_guard_house_imperial.iff	0	969	199.9986	1277	1	0	0	0		$|
8715461	8715460	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
8715462	8715460	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
8715463	0	object/building/military/military_outpost_guard_tower_1.iff	0	976.0785	200.0003	1306.39	0.980067	0	0.198669	0		$|
8715464	0	object/building/military/mun_all_military_tower_impl_guard_s01.iff	0	147	199.8809	1349	1	0	0	0		$|
8715465	8715464	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
8715466	0	object/building/military/military_outpost_guard_house_imperial.iff	0	969	199.8441	1237	0.707107	0	-0.707106	0		$|
8715467	8715466	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
8715468	8715466	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
8715469	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	964	200	1267	0.707107	0	-0.707106	0		$|
8715470	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	964	200	1262	1	0	0	0		$|
8715471	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	964	200	1252	-3.2E-08	0	1	0		$|
8715472	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	964	200	1247	0.707113	0	-0.7071	0		$|
8715473	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	975	200	1291	1	0	0	0		$|
8715474	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	975	200	1287	0.707107	0	-0.707106	0		$|
8715475	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	975	200	1295	0.707107	0	-0.707106	0		$|
8715476	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	975	200	1299	1	0	0	0		$|
8715477	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	975	200	1303	0.70711	0	-0.707103	0		$|
8715478	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	978	199.9999	1310	0.92388	0	-0.382681	0		$|
8715479	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	981	200.0014	1313	0.92388	0	0.382683	0		$|
8715480	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	984	200	1316	0.923881	0	-0.382681	0		$|
8715481	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	987	200.0014	1319	0.92388	0	0.382683	0		$|
8715482	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	990	200	1322	0.923881	0	-0.382681	0		$|
8715483	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	993	200.0014	1325	0.92388	0	0.382683	0		$|
8715484	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	996	200	1328	0.923881	0	-0.382681	0		$|
8715485	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	999	200.0015	1331	0.92388	0	0.382683	0		$|
8715486	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1002	200.0001	1334	0.923881	0	-0.382681	0		$|
8715487	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1005	200.0014	1337	0.92388	0	0.382683	0		$|
8715488	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1008	200	1340	0.923881	0	-0.382681	0		$|
8715489	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1011	200.0014	1343	0.92388	0	0.382683	0		$|
8715490	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1014	200	1346	0.923881	0	-0.382681	0		$|
8715491	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1029	199.9972	1350	0.707108	0	0.707106	0		$|
8715492	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1033	199.999	1350	1	0	0	0		$|
8715493	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1025	200.0158	1350	1	0	0	0		$|
8715494	0	object/building/military/military_outpost_guard_tower_1.iff	0	1019	199.9625	1349	0.829436	0	0.558602	0		$|
8715495	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1070	200	1350	1	0	0	0		$|
8715496	0	object/building/military/mun_all_military_tower_impl_guard_s01.iff	0	1064	200.0479	1349	1	0	0	0		$|
8715497	8715496	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
8715498	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1074	12	1350	0.707107	0	0.707107	0		$|
8715499	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1078	200.0018	1350	1	0	0	0		$|
8715500	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1037	200	1350	0.707107	0	0.707107	0		$|
8715501	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1041	200.0018	1350	1	0	0	0		$|
8715502	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1090	200	1350	0.707107	0	0.707107	0		$|
8715503	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1094	200.0018	1350	1	0	0	0		$|
8715504	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1082	200	1350	0.707107	0	0.707107	0		$|
8715505	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1086	200.0018	1350	1	0	0	0		$|
8715506	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1098	200	1350	0.707107	0	0.707107	0		$|
8715507	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1102	200.0018	1350	1	0	0	0		$|
8715508	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1106	200	1350	0.707107	0	0.707107	0		$|
8715509	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1109	1=188+2.0018	1350	1	0	0	0		$|
8715510	0	object/building/military/military_outpost_guard_tower_1.iff	0	1114	200.1439	1349	0.554448	0	0.832219	0		$|
8715511	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1119	200	1346	0.92388	0	0.382683	0		$|
8715512	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1122	200	1343	0.382683	0	0.92388	0		$|
8715513	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1125	200.0018	1340	0.923878	0	0.382686	0		$|
8715514	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1134	200	1331	0.382683	0	0.92388	0		$|
8715515	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1136	200.0018	1329	0.923878	0	0.382686	0		$|
8715516	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1128	200	1337	0.382683	0	0.92388	0		$|
8715517	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1131	200.0018	1334	0.923878	0	0.382686	0		$|
8715518	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1139	200	1326	0.382683	0	0.92388	0		$|
8715519	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1142	200.0018	1323	0.923878	0	0.382686	0		$|
8715520	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1147	200	1318	0.92388	0	0.382683	0		$|
8715521	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1150	200	1315	0.382683	0	0.92388	0		$|
8715522	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1153	200.0018	1312	0.923878	0	0.382686	0		$|
8715523	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1162	200	1303	0.382683	0	0.92388	0		$|
8715524	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1164	200.0018	1301	0.923878	0	0.382686	0		$|
8715525	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1156	200	1309	0.382683	0	0.92388	0		$|
8715526	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1159	200.0018	1306	0.923878	0	0.382686	0		$|
8715527	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1167	200	1298	0.382683	0	0.92388	0		$|
8715528	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1170	200.0018	1295	0.923878	0	0.382686	0		$|
8715529	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1145	200	1320	0.92388	0	0.382683	0		$|
8715530	0	object/building/military/military_outpost_guard_house_imperial.iff	0	1185	200.0671	1214	-3.2E-08	0	1	0		$|
8715531	8715530	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
8715532	8715530	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
8715533	0	object/building/military/military_outpost_guard_house_imperial.iff	0	1185	199.9502	1254	0.707105	0	0.707108	0		$|
8715534	8715533	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
8715535	8715533	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
8715536	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1190	200.1559	1224	0.707105	0	0.707108	0		$|
8715537	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1190	200.1559	1229	-3.2E-08	0	1	0		$|
8715538	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1190	200.1559	1239	1	0	0	0		$|
8715539	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1190	200.1559	1244	0.707099	0	0.707114	0		$|
8715540	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1180	200.0018	1272	0.707105	0	0.707109	0		$|
8715541	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1180	200	1268	-7.48E-07	0	1	0		$|
8715542	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1180	200.0018	1264	0.707105	0	0.707109	0		$|
8715543	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1180	200.0018	1280	0.707105	0	0.707109	0		$|
8715544	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1180	200	1276	-1E-06	0	1	0		$|
8715545	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1173	200	1292	0.382683	0	0.92388	0		$|
8715546	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1176	200.0018	1289	0.923879	0	0.382686	0		$|
8715547	0	object/building/military/military_outpost_guard_tower_1.iff	0	1179	200.1998	1285	0.193766	0	0.981048	0		$|
8715548	0	object/building/military/mun_all_military_tower_impl_guard_s01.iff	0	1088	200.0544	1130	-3.2E-08	0	1	0		$|
8715549	8715548	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
8715550	0	object/building/military/military_outpost_guard_tower_1.iff	0	1124	199.883	1131	-0.558602	0	0.829436	0		$|
8715551	0	object/building/military/mun_all_military_tower_impl_guard_s01.iff	0	1072	199.96	1130	-3.2E-08	0	1	0		$|
8715552	8715551	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
8715553	0	object/building/military/military_outpost_guard_tower_1.iff	0	1022	200.1291	1130	0.832218	0	-0.554449	0		$|
8715554	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1110	200.135	1129	-3.2E-08	0	1	0		$|
8715555	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1138	200.1205	1142	-0.382683	0	0.92388	0		$|
8715556	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1135	200.1192	1139	0.382681	0	0.92388	0		$|
8715557	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1106	200.1163	1129	-0.707107	0	0.707107	0		$|
8715558	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1102	200.1181	1129	-3.05E-06	0	1	0		$|
8715559	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1066	200.1191	1129	-3.2E-08	0	1	0		$|
8715560	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1062	200.1191	1129	-0.707107	0	0.707107	0		$|
8715561	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1058	200.1209	1129	-3.05E-06	0	1	0		$|
8715562	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1098	200.1191	1129	-0.707107	0	0.707107	0		$|
8715563	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1094	200.1209	1129	-3.05E-06	0	1	0		$|
8715564	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1046	200.1191	1129	-0.707107	0	0.707107	0		$|
8715565	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1042	200.1209	1129	-3.05E-06	0	1	0		$|
8715566	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1054	200.1191	1129	-0.707107	0	0.707107	0		$|
8715567	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1050	200.1209	1129	-3.05E-06	0	1	0		$|
8715568	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1038	200.1191	1129	-0.707107	0	0.707107	0		$|
8715569	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1034	200.1209	1129	-3.05E-06	0	1	0		$|
8715570	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1030	200.1191	1129	-0.707107	0	0.707107	0		$|
8715571	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1027	200.1209	1129	-3.05E-06	0	1	0		$|
8715572	0	object/building/military/military_outpost_guard_tower_1.iff	0	1179	199.9914	1185	-0.198669	0	0.980067	0		$|
8715573	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1180	200.0375	1200	-3.2E-08	0	1	0		$|
8715574	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1180	200.0375	1204	0.707107	0	0.707107	0		$|
8715575	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1180	200.0375	1196	0.707105	0	0.707108	0		$|
8715576	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1180	200.0375	1192	-3.2E-08	0	1	0		$|
8715577	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1180	200.0375	1188	0.707103	0	0.70711	0		$|
8715578	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1177	200.0373	1181	0.382681	0	0.923881	0		$|
8715579	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1174	200.0389	1178	-0.382683	0	0.92388	0		$|
8715580	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1171	200.0375	1175	0.382681	0	0.92388	0		$|
8715581	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1168	200.0389	1172	-0.382683	0	0.92388	0		$|
8715582	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1165	200.0375	1169	0.382681	0	0.92388	0		$|
8715583	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1162	200.0389	1166	-0.382683	0	0.92388	0		$|
8715584	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1159	200.0375	1163	0.382681	0	0.92388	0		$|
8715585	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1156	200.039	1160	-0.382683	0	0.92388	0		$|
8715586	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1153	200.0376	1157	0.382681	0	0.92388	0		$|
8715587	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1150	200.0389	1154	-0.382683	0	0.92388	0		$|
8715588	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1147	200.0375	1151	0.382681	0	0.92388	0		$|
8715589	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1144	200.0389	1148	-0.382683	0	0.92388	0		$|
8715590	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1141	200.0375	1145	0.382681	0	0.92388	0		$|
8715591	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1119	200.0165	1129	0	0	1	0		$|
8715592	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1115	199.9978	1129	-0.707107	0	0.707107	0		$|
8715593	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1132	200.0144	1136	-0.382683	0	0.92388	0		$|
9715593	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1124	200.0144	1129	-0.382683	0	0.92388	0		$|
8715594	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1129	200.013	1133	0.382681	0	0.92388	0		$|
8715595	0	object/building/military/military_outpost_guard_tower_1.iff	0	975.6041	200.1303	1176.256	0.981048	0	-0.193766	0		$|
8715596	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1017	200.0018	1134	-0.382686	0	0.923879	0		$|
8715597	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1014	200	1137	0.92388	0	-0.382683	0		$|
8715598	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1011	200.0018	1140	-0.382686	0	0.923879	0		$|
8715599	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1006	200	1145	-0.382683	0	0.92388	0		$|
8715600	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1003	200	1148	0.92388	0	-0.382683	0		$|
8715601	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	1000	200.0018	1151	-0.382686	0	0.923879	0		$|
8715602	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	991	200	1160	0.92388	0	-0.382683	0		$|
8715603	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	989	200.0018	1162	-0.382686	0	0.923879	0		$|
8715604	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	997	200	1154	0.92388	0	-0.382683	0		$|
8715605	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	994	200.0018	1157	-0.382686	0	0.923879	0		$|
8715606	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	986	200	1165	0.92388	0	-0.382683	0		$|
8715607	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	983	200.0018	1168	-0.382686	0	0.923879	0		$|
8715608	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1008	200	1143	-0.382683	0	0.92388	0		$|
8715609	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	975	200.0018	1187	-0.707107	0	0.707107	0		$|
8715610	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	975	200	1191	1	0	0	0		$|
8715611	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	975	200.0018	1195	-0.707107	0	0.707107	0		$|
8715612	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	975	200.0018	1179	-0.707107	0	0.707107	0		$|
8715613	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	975	200	1183	1	0	0	0		$|
8715614	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	980	200	1171	0.92388	0	-0.382683	0		$|
8715615	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	977	200.0018	1174	-0.382686	0	0.923878	0		$|
8715616	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	975	200	1199	1	0	0	0		$|
8715617	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	975	200	1207	1	0	0	0		$|
8715618	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	975	200.0018	1211	-0.707107	0	0.707107	0		$|
8715619	0	object/static/structure/military/military_wall_strong_imperial_style_01.iff	0	975	200.0018	1203	-0.707107	0	0.707107	0		$|
8715620	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	975	200	1215	1	0	0	0		$|
