costume_command	costume_buff	costume_component
s	s	s[none]
costume_4lom	costume_4lom	
costume_axkva_min	costume_axkva_min	
costume_battle_droid	costume_battle_droid	
costume_blackwing_rancor	costume_blackwing_rancor	
costume_burning_ewok	costume_burning_ewok	
costume_chevin	costume_chevin	
costume_chiss_01	costume_chiss_01	
costume_dantari_f	costume_dantari_f	
costume_dantari_m	costume_dantari_m	
costume_darktrooper	costume_darktrooper	
costume_droid_8t88	costume_droid_8t88	
costume_droideka	costume_droideka	
costume_dug	costume_dug	
costume_esb_boba_fett	costume_esb_boba_fett	
costume_esb_darth_vader	costume_darth_vader	
costume_esb_han_solo	costume_esb_han_solo	
costume_esb_lando	costume_esb_lando	
costume_esb_leia	costume_esb_leia	
costume_esb_luke	costume_esb_luke	
costume_esb_yoda	costume_esb_yoda	
costume_ewok	costume_ewok	
costume_exar_kun_cultist	costume_exar_kun_cultist	
costume_gamorrean_guard	costume_gamorrean_guard	
costume_geonosian	costume_geonosian	
costume_gungan	costume_gungan	
costume_hutt_female	costume_hutt_female	
costume_ig106	costume_ig106	
costume_jawa	costume_jawa	
costume_lifeday_monkey_lizard	costume_lifeday_monkey_lizard	
costume_loveday_ewok_cupid	costume_loveday_ewok_cupid	
costume_meatlump_king	costume_meatlump_king	
costume_monkey_lizard	costume_monkey_lizard	
costume_muftak	costume_muftak	
costume_mustafarian_01	costume_mustafarian_01	
costume_mutant_rancor	costume_mutant_rancor	
costume_mynock	costume_mynock	
costume_rancor	costume_rancor	
costume_royal_guard	costume_royal_guard	
costume_seven_obi_wan_ghost	costume_seven_obi_wan_ghost	
costume_skeleton	costume_skeleton	
costume_spider_droid	costume_spider_droid	
costume_super_battle_droid	costume_super_battle_droid	
costume_tauntaun	costume_tauntaun	
costume_toydarian	costume_toydarian	
costume_tusken_king	costume_tusken_king	
costume_ugnaught	costume_ugnaught	
costume_undead_wookie	costume_undead_wookie	
costume_wampa	costume_wampa	
costume_zozpheratu	costume_zozpheratu	
