item	cash	token0	token1	token2	token3	token16	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_token_03	500000								
item_tcg_loot_reward_series5_klorri_clan_shield	15000								
object/tangible/deed/ep3_pet_deed/varactyl_deed.iff						1			
item_tcg_loot_reward_series5_armored_varactyl_statue						1			
item_tow_necklace_taming_03_05						1			
heroic_minder_creature_knowledge_gloves_02_01						1			
item_tcg_loot_reward_series6_beast_muzzle						1			
item_tcg_loot_reward_series3_wampa_skin_rug						1			
item_tcg_loot_reward_series8_wampa_arm						1			
object/weapon/ranged/rifle/ep3/rifle_trando_hunter.iff						1			
object/weapon/melee/knife/ep3/knife_trando_skinner.iff						1			
object/weapon/melee/polearm/ep3/lance_trando.iff						1			
object/weapon/ranged/pistol/ep3/pistol_trando_suppressor.iff						1			
item_cs_dna_blistmok						1			
item_cs_dna_bolotaur						1			
item_cs_dna_dewback_armor						1			
item_cs_dna_mutated_dewback						1			
item_cs_dna_kashyyyk_bantha						1			
item_cs_dna_varactyl						1			
