item	cash	token18	class	script	note
s[none]	i[0]	i[0]	i[0]	s	c
item_restuss_imperial_commendation_02_01		1			
item_gcw_points_imperial_gcw_1000_01_01		100			
item_gcw_recruitment_letter_01_01		1000			
weapon_gcw_dh18a_pistol_03_01		100			
weapon_gcw_tc22_rifle_03_01		100			
weapon_gcw_heavy_pulse_cannon_03_01		100			
weapon_gcw_lance_03_01		100			
weapon_gcw_carbine_charric_03_01		100			
item_gcw_imperial_galactic_marine_belt		100			
armor_gcw_imperial_galactic_marine_bicep_l		100			
armor_gcw_imperial_galactic_marine_bicep_r		100			
armor_gcw_imperial_galactic_marine_boots		100			
armor_gcw_imperial_galactic_marine_bracer_l		100			
armor_gcw_imperial_galactic_marine_bracer_r		100			
armor_gcw_imperial_galactic_marine_chest_plate		100			
armor_gcw_imperial_galactic_marine_gloves		100			
armor_gcw_imperial_galactic_marine_helmet		100			
armor_gcw_imperial_galactic_marine_leggings		100			
item_gcw_imperial_stormtrooper_belt		100			
armor_gcw_imperial_stromtrooper_bicep_l		100			
armor_gcw_imperial_stromtrooper_bicep_r		100			
armor_gcw_imperial_stromtrooper_boots		100			
armor_gcw_imperial_stromtrooper_bracer_l		100			
armor_gcw_imperial_stromtrooper_bracer_r		100			
armor_gcw_imperial_stromtrooper_chest_plate		100			
armor_gcw_imperial_stromtrooper_gloves		100			
armor_gcw_imperial_stromtrooper_helmet		100			
armor_gcw_imperial_stromtrooper_leggings		100			
armor_gcw_imperial_scouttrooper_bicep_l		100			
armor_gcw_imperial_scouttrooper_bicep_r		100			
armor_gcw_imperial_scouttrooper_bracer_l		100			
armor_gcw_imperial_scouttrooper_bracer_r		100			
armor_gcw_imperial_scouttrooper_helmet		100			
armor_gcw_imperial_scouttrooper_chest_plate		100			
armor_gcw_imperial_scouttrooper_leggings		100			
item_gcw_imperial_scouttrooper_utility_belt		100			
armor_gcw_imperial_scouttrooper_gloves		100			
armor_gcw_imperial_scouttrooper_boots		100			
armor_gcw_imperial_shocktrooper_bicep_l		100			
armor_gcw_imperial_shocktrooper_bicep_r		100			
armor_gcw_imperial_shocktrooper_bracer_l		100			
armor_gcw_imperial_shocktrooper_bracer_r		100			
armor_gcw_imperial_shocktrooper_helmet		100			
armor_gcw_imperial_shocktrooper_chest_plate		100			
armor_gcw_imperial_shocktrooper_leggings		100			
item_gcw_imperial_shocktrooper_utility_belt		100			
armor_gcw_imperial_shocktrooper_gloves		100			
armor_gcw_imperial_shocktrooper_boots		100			
item_gcw_imperial_rug_01		100			
item_gcw_weapon_rack_01		100			
item_gcw_weapon_rack_02		100			
item_gcw_imperial_cape_01		100			
item_gcw_imperial_jacket_01		100			
prop_gcw_imp_glowstick_l		100			
prop_gcw_imp_glowstick_r		100			
item_gcw_invasion_binoculars		100			
item_schematic_imperial_command_hat		100			
item_gcw_mini_turret_consumable		100			
item_schematic_prop_ribbon_01_01		100			
item_schematic_prop_ribbon_01_02		100			
item_schematic_prop_ribbon_01_03		100			
item_schematic_prop_ribbon_01_04		100			
item_schematic_prop_ribbon_01_05		100			
item_schematic_prop_ribbon_01_06		100			
item_gcw_atst_familiar		100			
imperial_gunner_hat_schematic		100			
item_publish_gift_37_04_01		100			
item_publish_gift_update_15		100			
object/tangible/deed/faction_perk/covert_detector/detector_32m_deed.iff		100			
item_tcg_loot_reward_series7_atpt_walker		100			
item_tcg_loot_reward_series7_military_transport		100			
