item	cash	token17	class	script	note
s[none]	i[0]	i[0]	i[0]	s	c
item_restuss_rebel_commendation_02_01		1			
item_gcw_points_rebel_gcw_1000_01_01		100			
item_gcw_recruitment_letter_01_01		1000			
weapon_gcw_dh18a_pistol_03_01		100			
weapon_gcw_tc22_rifle_03_01		100			
weapon_gcw_heavy_pulse_cannon_03_01		100			
weapon_gcw_lance_03_01		100			
weapon_gcw_carbine_charric_03_01		100			
armor_gcw_rebel_marine_bicep_l		100			
armor_gcw_rebel_marine_bicep_r		100			
armor_gcw_rebel_marine_bracer_l		100			
armor_gcw_rebel_marine_bracer_r		100			
armor_gcw_rebel_marine_helmet		100			
armor_gcw_rebel_marine_chest_plate		100			
armor_gcw_rebel_marine_leggings		100			
armor_gcw_rebel_marine_gloves		100			
armor_gcw_rebel_marine_boots		100			
armor_gcw_rebel_assault_bicep_l		100			
armor_gcw_rebel_assault_bicep_r		100			
armor_gcw_rebel_assault_bracer_l		100			
armor_gcw_rebel_assault_bracer_r		100			
armor_gcw_rebel_assault_helmet		100			
armor_gcw_rebel_assault_chest_plate		100			
armor_gcw_rebel_assault_leggings		100			
item_gcw_rebel_assault_utility_belt		100			
armor_gcw_rebel_assault_gloves		100			
armor_gcw_rebel_assault_boots		100			
armor_gcw_rebel_battle_bicep_l		100			
armor_gcw_rebel_battle_bicep_r		100			
armor_gcw_rebel_battle_bracer_l		100			
armor_gcw_rebel_battle_bracer_r		100			
armor_gcw_rebel_battle_helmet		100			
armor_gcw_rebel_battle_chest_plate		100			
armor_gcw_rebel_battle_leggings		100			
item_gcw_rebel_battle_utility_belt		100			
armor_gcw_rebel_battle_gloves		100			
armor_gcw_rebel_battle_boots		100			
armor_gcw_rebel_specforce_bicep_l		100			
armor_gcw_rebel_specforce_bicep_r		100			
armor_gcw_rebel_specforce_bracer_l		100			
armor_gcw_rebel_specforce_bracer_r		100			
armor_gcw_rebel_specforce_helmet		100			
armor_gcw_rebel_specforce_chest_plate		100			
armor_gcw_rebel_specforce_leggings		100			
item_gcw_rebel_specforce_utility_belt		100			
armor_gcw_rebel_specforce_gloves		100			
armor_gcw_rebel_specforce_boots		100			
item_gcw_rebel_rug_01		100			
item_gcw_weapon_rack_01		100			
item_gcw_weapon_rack_02		100			
item_gcw_rebel_cape_01		100			
item_gcw_rebel_jacket_01		100			
prop_gcw_reb_glowstick_l		100			
prop_gcw_reb_glowstick_r		100			
item_gcw_invasion_binoculars		100			
item_gcw_mini_turret_consumable		100			
item_schematic_prop_ribbon_01_01		100			
item_schematic_prop_ribbon_01_02		100			
item_schematic_prop_ribbon_01_03		100			
item_schematic_prop_ribbon_01_04		100			
item_schematic_prop_ribbon_01_05		100			
item_schematic_prop_ribbon_01_06		100			
item_gcw_atxt_familiar		100			
rebel_trooper_hat_schematic		100			
item_publish_gift_37_04_01		100			
item_publish_gift_update_15		100			
object/tangible/deed/faction_perk/covert_detector/detector_32m_deed.iff		100			
item_tcg_loot_reward_series7_atpt_walker		100			
item_tcg_loot_reward_series7_military_transport		100			
