item	cash	resourceAmount	class	script	note
s[none]	i[0]	i[0]	i[0]	s	c
item_pgc_planet_hologram_corellia					
item_pgc_planet_hologram_corellia_02					
item_kommerken_steak_schematic_01		65			
item_armor_recolor_kit_schematic_01		65			
item_war_intel_datapad_01		65			
item_meatlump_buff_device_safe_01		2			
item_meatlump_buff_device_container_01		2			
item_meatlump_buff_device_map_01		2			
item_meatlump_buff_device_weapon_01		2			
item_meatlump_buff_device_food_01		2			
item_meatlump_buff_device_bomb_01		2			
item_tcg_loot_reward_series2_barn	100000				
item_tcg_loot_reward_series2_diner	100000				
item_tcg_loot_reward_series2_diner_package	100000				
item_tcg_loot_reward_series5_house_sign	100000				
item_tcg_loot_reward_series3_house_sign	100000				
item_tcg_loot_reward_series5_xj6_air_speeder	100000				
item_tcg_loot_reward_series3_koro2_exodrive_airspeeder	100000				
item_deed_landspeeder_usv5_s02	100000				
item_tcg_loot_reward_series1_organa_speeder	100000				
item_tcg_loot_reward_series1_mechno_chair	100000				
item_tcg_loot_reward_series4_senate_pod_02_01	100000				
item_senator_robe	100000				
item_senator_gloves	100000				
item_senator_wookiee_robe	100000				
item_senator_ithorian_robe	100000				
item_senator_ithorian_gloves	100000				
item_tcg_loot_reward_series6_snow_jacket	100000				
item_tcg_loot_reward_series1_naboo_jacket	100000				
item_tcg_loot_reward_series5_ceremonial_travel_headdress	100000				
item_tcg_loot_reward_series1_black_corset_dress	100000				
item_tcg_loot_reward_series4_chandrilan_dress_02_01	100000				
item_tcg_loot_reward_series7_handmade_sash	100000				
item_tcg_loot_reward_series8_painting_hanleia	100000				
item_tcg_loot_reward_series5_theater_poster	100000				
item_tcg_loot_reward_series1_bas_relief	100000				
item_pgc_monitorscreen	100000				
item_pgc_monitorscreen_sm	100000				
item_tcg_loot_reward_series5_lcd_screen	100000				
item_pgc_glass_pane_01	100000				
item_pgc_glass_pane_02	100000				
item_tcg_loot_reward_series1_dooku_bust	100000				
item_tcg_loot_reward_series2_chon_bust	100000				
item_tcg_loot_reward_series1_indoor_fountain_01	100000				
item_tcg_loot_reward_series1_indoor_fountain_02	100000				
item_tcg_loot_reward_series1_indoor_garden_01	100000				
item_tcg_loot_reward_series2_indoor_garden_02	100000				
item_tcg_loot_reward_series1_display_case_01	100000				
item_tcg_loot_reward_series2_display_case_02	100000				
object/tangible/veteran_reward/frn_couch_falcon_corner_s01.iff	100000				
object/tangible/veteran_reward/frn_couch_falcon_section_s01.iff	100000				
item_tcg_loot_reward_series4_han_solo_statuette_02_01	100000				
item_tcg_loot_reward_series2_princess_leia_statuette	100000				
item_tcg_loot_reward_series2_darth_vader_statuette	100000				
item_tcg_loot_reward_series3_emperor_palpatine_statuette	100000				
item_tcg_loot_reward_series2_painting_alliance_propaganda	100000				
item_tcg_loot_reward_series9_painting_imperial_propaganda	100000				
item_tcg_loot_reward_series8_palpatine_hologram	100000				
item_tcg_loot_reward_series5_greeter_senate_guard	100000				
item_tcg_loot_reward_series5_greeter_royal_guard	100000				
object/tangible/veteran_reward/frn_vet_holo_imperial_guard.iff	100000				
object/tangible/veteran_reward/frn_vet_holo_leia.iff	100000				
object/tangible/veteran_reward/frn_vet_display_stand.iff	100000				
object/tangible/veteran_reward/vr_bearded_jax_deed.iff	100000				
item_vet_63_month_yoda_fountain	100000				
item_vet_63_month_palpatine_statue	100000				
item_dna_nerf	100000				
item_costume_chiss_01	100				
item_costume_exar_kun_cultist	100				
costume_royal_guard	100				
