item	cash	token0	token1	token2	token3	token16	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_token_03	500000								
item_tcg_loot_reward_series2_versafunction88_datapad	15000								
item_pgc_sandcrawler_house_deed						1			
object/tangible/veteran_reward/frn_vet_holo_sandcrawler.iff						1			
object/tangible/veteran_reward/frn_vet_holo_jawa.iff						1			
item_tcg_loot_reward_series1_podracer_gasgano						1			
item_tcg_loot_reward_series5_fg_8t8_podracer						1			
item_deed_podracer_anakin						1			
item_tcg_loot_reward_series3_podracer_longtail						1			
item_tcg_loot_reward_series2_podracer_mawhonic						1			
item_tcg_loot_reward_series4_balta_podracer_02_01						1			
item_tcg_loot_reward_series4_location_itv_02_01						20			
item_tcg_loot_reward_series1_housecleaning_kit						1			
item_tcg_loot_reward_series2_organizational_datapad						1			
item_tcg_loot_reward_series1_beru_whitesuns_cookbook						1			
object/tangible/veteran_reward/structure_storage_increase_deed.iff						1			
item_tcg_loot_reward_series1_vendor_jawa						1			
item_tcg_loot_reward_series2_greeter_jawa						1			
item_tcg_loot_reward_series9_jawa						1			
object/tangible/veteran_reward/vr_mouse_droid_deed.iff						1			
item_tcg_loot_reward_series4_droid_oil_bath_02_01						1			
item_tcg_loot_reward_series6_build01_hk47_statuette						1			
item_tcg_loot_reward_series6_build02_hk47_mustafar_diorama						1			
item_tcg_loot_reward_series6_build04_hkdroid_series_poster						1			
item_tcg_loot_reward_series8_glowly_sculpture						1			
item_tcg_loot_reward_series8_c3po_backpack						1			
item_costume_jawa	100								
