color	elemental_type	damage_amount	comments
i	e(none=0,cold=64,heat=32,acid=128,electric=256)[none]	f	c
0	heat	0.02	How to use this table
1	heat	0.02	There are only 32 colors. 0 - 31.
2	heat	0.02	Creating a row 32 will not get you a new bug free saber.
3	heat	0.02	Instead, you should reuse an existing elemental type, and use the master item table to create a new saber using existing elemental, color and damage_amount.
4	heat	0.02	The elemental type dictates the default color of the saber and the saber swoosh (which is based off the default color).
5	heat	0.02	Heat = red, acid = green, etc.
6	heat	0.02	If there is not an existing elemental type with the correct damage amount, you need to have engineering figure this system out or pick an elemental type with the correct damage amount that will work.
7	heat	0.02	
8	heat	0.02	
9	heat	0.02	
10	heat	0.02	
11	heat	0.02	
12	heat	0.02	Allya's Exile
13	heat	0.02	Kun's Blood
14	heat	0.02	Bondara's Folly
15	heat	0.02	Ulric's Redemption
16	heat	0.02	Bane's Heart
17	heat	0.02	Gallia's Intuition
18	heat	0.02	Prowess of Plo Koon
19	heat	0.02	B'nar's Sacrifice
20	heat	0.02	Windu's Guile
21	heat	0.02	Mundi's Response
22	heat	0.02	Strength of Luminaria
23	heat	0.02	Baas's Wisdom
24	heat	0.02	Quintessence of the Force
25	heat	0.02	Dawn of Dagobah
26	heat	0.02	Horn's Future
27	heat	0.02	Allya's Redemption
28	heat	0.02	Kenobi's Legacy
29	heat	0.02	Sunrider's Destiny
30	heat	0.02	Kit's Ferocity
32	heat	0.02	Cunning of Tyranus
33	heat	0.02	Maul's Vengeance
34	heat	0.02	Qui-gon's Devotion
35	heat	0.02	unused
36	heat	0.02	unused
37	heat	0.02	unused
38	heat	0.02	unused
39	heat	0.02	unused
40	heat	0.02	unused
41	heat	0.02	unused
42	heat	0.02	unused
43	heat	0.02	unused
44	heat	0.02	unused
45	heat	0.02	unused
46	heat	0.02	unused
47	heat	0.02	unused
48	heat	0.02	unused
