strItemType	comments
s	s
object/tangible/item/quest/force_sensitive/bacta_tank.iff	A Bacta Tank
weapon_carbine_e5_legendary	A Legendary E5 Carbine
weapon_pistol_fwg5_legendary	A Legendary FWG5 Pistol
weapon_energy_lance_legendary	A Legendary Nightsister Energy Lance
weapon_2h_sword_maul_legendary	A Legendary Power Hammer
weapon_stun_baton_legendary	A Legendary Stun Baton
weapon_rifle_legendary_t21	A Legendary T21 Rifle
item_painting_rodian_f_ad_01	Advertisement (Rodian)
item_crystal_tyranus_cunning_01	Cunning of Tyranus
item_forage_worm_dna	DNA Storage Device (Forage Worm)
item_housepack_emperor_chair_01_01	Emperor's Senate Office Chair
object/tangible/painting/painting_rodian_m.iff	Fighter (Painting)
item_schematic_gungan_statue_s01	Gungan Statue Style 1 Schematic
item_schematic_gungan_statue_s02	Gungan Statue Style 2 Schematic
item_schematic_gungan_statue_s03	Gungan Statue Style 3 Schematic
item_schematic_gungan_statue_s04	Gungan Statue Style 4 Schematic
item_event_lifeday_holo_table	Holo-Entertainment Table
item_jedi_robe_06_01	Jedi Master Cloak (Brown)
item_jedi_robe_06_02	Jedi Master Cloak (Black)
item_tow_decor_jedi_relic_02_03	Jedi Relic
item_lifeday_gift_04_09	Life Day Lamp
object/tangible/painting/painting_schematic_weapon_s03.iff	Poster Block Turret Schematic
item_ep3_rewards_prayor_mobile	Prayer Mobile
item_tow_crystal_uber_05_01	Shard of Ferocity
item_tow_crystal_uber_05_02	Shard of Retaliation
item_tow_holocron_ab_immune_02_01	Sith Holocron
item_tow_decor_sith_relic_02_01	Sith Relic
item_housepack_painting_rebel_01_01	The War Phoenix
item_dna_worm	DNA Storage Device (Forage Worm)
item_pangrack_dna	DNA Storage Device (Pangrack)
object/tangible/item/quest/force_sensitive/fs_sculpture_1.iff	An Aurillian Sculpture Section 1
object/tangible/item/quest/force_sensitive/fs_sculpture_2.iff	An Aurillian Sculpture Section 2
object/tangible/item/quest/force_sensitive/fs_sculpture_3.iff	An Aurillian Sculpture Section 3
object/tangible/item/quest/force_sensitive/fs_sculpture_4.iff	An Aurillian Sculpture Section 4
item_schematic_hide_rack_s01	Animal Hide Rack Style 1 Schematic
item_schematic_hide_rack_s02	Animal Hide Rack Style 2 Schematic
item_schematic_hide_rack_s03	Animal Hide Rack Style 3 Schematic
item_schematic_hide_rack_s04	Animal Hide Rack Style 4 Schematic
object/tangible/mission/quest_item/bren_kingal_q4_needed.iff	AT-ST pilot's helmet
item_color_crystal_02_16	Bane's Heart
item_treasure_map_bar_piece_curve_s1_schematic	Bar Corner Piece 1 Schematic
item_treasure_map_bar_piece_curve_s2_schematic	Bar Corner Piece 2 Schematic
item_treasure_map_bar_piece_straight_s1_schematic	Bar Corner Piece 3 Schematic
item_treasure_map_bar_piece_straight_s2_schematic	Bar Counter Large Schematic
object/tangible/painting/painting_bothan_m.iff	Bothan Buff (Painting)
object/tangible/painting/painting_bothan_f.iff	Bothan Beauty (Painting)
object/tangible/veteran_reward/one_year_anniversary/painting_01.iff	Cast Wing in Flight
item_painting_corl_02	Corellian Seaside (Painting)
item_content_decor_hologram_disk_03_01	Data Disk Hologram
item_content_bubble_tank_02_01	Decorative Bubble Tank
item_painting_droid_bright	Droid in Contrast
object/tangible/container/drum/treasure_drum.iff	Drum
object/tangible/veteran_reward/one_year_anniversary/painting_09.iff	Emperor's Eyes (TIE Sentinel)
item_event_lifeday_family_painting	Family Bonds
object/tangible/painting/painting_rodian_f.iff	Feared (Painting)
object/tangible/veteran_reward/one_year_anniversary/painting_05.iff	Fighter Study
object/tangible/painting/painting_trandoshan_m_01.iff	Fighter's Courage (Painting)
item_costume_geonosian	Geonosian Costume Instructions
item_lifeday_gift_04_11	Hanging Life Day Orb
object/tangible/veteran_reward/one_year_anniversary/painting_06.iff	Hutt Greed
object/tangible/veteran_reward/one_year_anniversary/painting_08.iff	Imperial Oppression
item_tow_schematic_jedi_statue_02_01	Schematic: Jedi Statue
item_lifeday_gift_04_10	Kachirho Wall Cornucopia
item_event_lifeday_monkey_cage	Kowakian Cage
item_schematic_fruit_stand_lg	Large Fruit Stand Schematic
item_tow_decor_lava_geode_02_01	Lava Geode
item_lifeday_gift_04_09	Life Day Lamp
item_lifeday_painting_03_01_01	Life Day Painting (Proud Wookiee)
item_lifeday_painting_01_01_01	Life Day Painting (Red Robed Wookiee)
item_tow_decor_painting_02_04	Living Canals
item_schematic_lugjack_machine	Lugjack Machine Schematic
item_lifeday_gift_04_07	Miniature Wroshyr Tree
object/tangible/painting/painting_droid_bright.iff	Modified Fusion Reactor Schematic
item_costume_mynock	Mynock Costume Instructions
object/tangible/painting/painting_bw_stormtrooper.iff	No Division
item_publish_gift_update_16	Nym Collectible Globe
item_power_crystal_04_21	Perfect Power Crystal
object/tangible/painting/painting_food_baking_s02.iff	Poster of Food Preparation
object/tangible/painting/painting_schematic_weapon.iff	Poster of a Turret Schematic (Painting)
object/tangible/painting/painting_schematic_transport_ship.iff	Poster of a Ship Schematic (Painting)
item_lifeday_gift_04_02	Pilgrimage
item_event_lifeday_proton_chair	Proton Chair
item_costume_rancor	Rancor Costume Instructions
object/tangible/wearables/helmet/helmet_s06.iff	Endor Rebel Helmet
item_tow_buff_crystal_02_03	Shard of the Serpent
item_event_lifeday_stap_speeder	Vehicle Deed: STAP-1 Vehicle Deed
item_target_dummy_blacksun	Black Sun Target Dummy Controller
item_target_dummy_rebel_trooper	Rebel Target Dummy Controller
item_target_dummy_stormtrooper	Imperial Target Dummy Controller
object/tangible/veteran_reward/one_year_anniversary/painting_03.iff	Tatooine Dune Speeder (Painting)
item_lifeday_gift_04_04	Triumph
item_costume_ugnaught	Ugnaught Costume Instructions
object/tangible/painting/painting_vader_victory.iff	Victory
item_costume_wampa	Wampa Costume Instuctions
item_publish_gift_37_04_01	War Terminal
object/tangible/painting/painting_trandoshan_m.iff	Warrior's Honor (Painting)
item_lifeday_gift_04_11	Wookie Life Day Orb
item_lifeday_gift_04_12	Wookiee Home Banner Kit
item_housepack_xeno_couch_01_01	Xeno Couch
item_housepack_xeno_desk_01_01	Xeno Desk
item_housepack_xeno_desk_lamp_01_01	Xeno Desk Lamp
item_housepack_xeno_rug_01_01	Xeno Rug
item_housepack_xeno_table_01_01	Xeno Table
item_tow_proc_generic_03_01	Mustafarian Injector
item_mooc_dna	DNA Storage Container (Mooc)
item_force_crystal_04_01	Biological Focus Crystal
item_publish_gift_27_04_01	Concentrated Bacta Tank
item_monkey_lizard_dna	DNA Storage Device (Kowakian Monkey Lizard)
item_costume_dug	Dug Costume Instructions
object/tangible/veteran_reward/one_year_anniversary/painting_10.iff	Dusk in Kachirho
object/tangible/painting/painting_zabrak_f.iff	Mercenaries' Despair
object/tangible/painting/painting_zabrak_m.iff	Mercenaries' Lament
object/tangible/wearables/armor/nightsister/armor_nightsister_bicep_r_s01.iff	Nightsister Melee Armguard
object/tangible/painting/bestine_quest_painting.iff	Rare Painting
item_color_crystal_02_29	Sunrider's Destiny
item_force_crystal_04_02	Synapse Focus Crystal
item_monkey_lizard_dna	DNA Storage Device (Monkey Lizard)
