template	name	requiredGcwRank	requiredFaction	pvpPlus	cost	declared	requiredClasses	classIDs	requiredLevel	uses	requiredSkill
s	s	i	s	b[0]	i[10000]	i[0]	s	c	i[1]	i	s
static:item_consumable_detect_hidden_02_04	Experimental Electrobinoculars	1	Either		2500	0		OFFICER = 4			
stealth:prx_trapCaltrop:100:5	Proximity Caltrop Trap x 5 [PvP+]	1	Either	1	650		1,5,6	SPY = 5	85		
stealth:rmt_trapCaltrop:100:5	Remote Caltrop Trap x 5	1	Either		800		1,5,6	BOUNTY HUNTER = 6	85		
stealth:prx_trapFlashbang:100:5	Proximity Flashbang Trap x 5 [PvP+]	1	Either	1	650		1,5,6	FORCE_SENSITIVE = 7	85		
stealth:rmt_trapFlashbang:100:5	Remote Flashbang Trap x 5	1	Either		800		1,5,6	TRADER = 8	85		
stealth:prx_trapHX2:100:5	Proximity HX2 Trap Body x 5 [PvP+]	1	Either	1	650		1	ENTERTAINER = 9	85		
stealth:rmt_trapHX2:100:5	Remote HX2 Trap Body x 5	1	Either		800		1		85		
stealth:prx_trapKamino:100:5	Proximity Kamino Trap x 5 [PvP+]	1	Either	1	650		5		85		
stealth:rmt_trapKamino:100:5	Remote Kamino Trap x 5	1	Either		650		5		85		
stealth:flare:100:1	Chaff Flare	1	Either		800		2,5		85		
object/tangible/furniture/imperial/data_terminal_s1.iff	Data Terminal	2	Imperial		4000	0					
object/tangible/furniture/imperial/data_terminal_s2.iff	Data Terminal	2	Imperial		5000	0					
object/tangible/furniture/imperial/data_terminal_s3.iff	Data Terminal	2	Imperial		6000	0					
object/tangible/furniture/imperial/data_terminal_s4.iff	Data Terminal	2	Imperial		7000	0					
object/tangible/furniture/imperial/table_s1.iff	Imperial Table	2	Imperial		5000	0					
object/tangible/furniture/technical/armoire_s01.iff	Tech Armoire	2	Either		7000	0					
object/tangible/furniture/technical/bookcase_s01.iff	Tech Bookcase	2	Either		7000	0					
object/tangible/furniture/technical/cabinet_s01.iff	Tech Cabinet	2	Either		7000	0					
object/tangible/furniture/technical/chair_s01.iff	Tech Chair	2	Either		5000	0					
object/tangible/furniture/technical/chest_s01.iff	Tech Chest	2	Either		5000	0					
object/tangible/furniture/technical/coffee_table_s01.iff	Tech Coffee Table	2	Either		5000	0					
object/tangible/furniture/technical/couch_s01.iff	Tech Couch	2	Either		7500	0					
object/tangible/furniture/technical/end_table_s01.iff	Tech End Table	2	Either		5000	0					
object/tangible/deed/faction_perk/minefield/field_1x1_deed.iff	Minefield	99	Either		1250	1					
object/tangible/deed/faction_perk/turret/block_lg_deed.iff	Large Block Turret	7	Either		14000	1					
object/tangible/deed/faction_perk/turret/block_med_deed.iff	Medium Block Turret	6	Either		10000	1					
object/tangible/deed/faction_perk/turret/block_sm_deed.iff	Small Block Turret	5	Either		8000	1					
object/tangible/deed/faction_perk/turret/dish_lg_deed.iff	Large Dish Turret	7	Either		14000	1					
object/tangible/deed/faction_perk/turret/dish_sm_deed.iff	Small Dish Turret	5	Either		8000	1					
object/tangible/deed/faction_perk/turret/tower_lg_deed.iff	Large Tower Turret	7	Either		14000	1					
object/tangible/deed/faction_perk/turret/tower_med_deed.iff	Medium Tower Turret	6	Either		10000	1					
object/tangible/deed/faction_perk/turret/tower_sm_deed.iff	Small Tower Turret	5	Either		8000	1					
object/tangible/deed/faction_perk/hq/hq_s01_imperial.iff	HQ: Forward Outpost	6	Imperial		35000	1					
object/tangible/deed/faction_perk/hq/hq_s02_imperial.iff	HQ: Field Hospital	6	Imperial		70000	1					
object/tangible/deed/faction_perk/hq/hq_s03_imperial.iff	HQ: Tactical Center	7	Imperial		125000	1					
object/tangible/deed/faction_perk/hq/hq_s04_imperial.iff	HQ: Detachment Headquarters	7	Imperial		240000	1					
object/tangible/deed/faction_perk/hq/hq_s01_imperial_pvp.iff	S.F. HQ: Forward Outpost	6	Imperial		50000	1					
object/tangible/deed/faction_perk/hq/hq_s02_imperial_pvp.iff	S.F. HQ: Field Hospital	6	Imperial		100000	1					
object/tangible/deed/faction_perk/hq/hq_s03_imperial_pvp.iff	S.F. HQ: Tactical Center	7	Imperial		155000	1					
object/tangible/deed/faction_perk/hq/hq_s04_imperial_pvp.iff	S.F. HQ: Detachment Headquarters	7	Imperial		300000	1					
object/draft_schematic/droid/droid_dz70.iff	DZ-70 Droid Schematic	1	Imperial		15000	1				1	
object/draft_schematic/droid/droid_r2.iff	R2 Droid Schematic	1	Either		11000	0				1	
object/draft_schematic/droid/droid_r3.iff	R3 Droid Schematic	1	Either		12000	0				1	
object/draft_schematic/droid/droid_r4.iff	R4 Droid Schematic	1	Either		13000	1				1	
object/draft_schematic/droid/droid_r5.iff	R5 Droid Schematic	1	Either		14000	1				1	
object/draft_schematic/armor/armor_appearance_assault_trooper_bicep_l.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_assault_trooper_bicep_r.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_assault_trooper_boots.iff		1	Imperial		4000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_assault_trooper_bracer_l.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_assault_trooper_bracer_r.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_assault_trooper_chest.iff		1	Imperial		6000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_assault_trooper_gloves.iff		1	Imperial		4000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_assault_trooper_helmet.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_assault_trooper_leggings.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_assault_trooper_utility_belt.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
object/draft_schematic/armor/armor_appearance_scout_trooper_bicep_l.iff		1	Imperial		5000	0				10	class_munitions_phase3_master
