roadmapTemplateName	roadmapSkillName	appearanceName	stringId	itemDefault	itemWookiee	itemIthorian	comment
s	s	s	s	s	s	s	c
bounty_hunter_1a	class_bountyhunter_phase1_novice						
bounty_hunter_1a	class_bountyhunter_phase1_02						
bounty_hunter_1a	class_bountyhunter_phase1_03						
bounty_hunter_1a	class_bountyhunter_phase1_04						***Class Specific: Specialty Backpack
bounty_hunter_1a	class_bountyhunter_phase1_05	appearance/eqp_notebook_s01.apt	@obj_n:profession_bounty_hunter_10_n	object/tangible/quest/quest_start/profession_bounty_hunter_10.iff			Profession Quest Item
bounty_hunter_1a	class_bountyhunter_phase1_master						
bounty_hunter_1a	class_bountyhunter_phase2_novice						
bounty_hunter_1a	class_bountyhunter_phase2_02	appearance/eqp_notebook_s01.apt	@obj_n:profession_bounty_hunter_20_n	object/tangible/quest/quest_start/profession_bounty_hunter_20.iff			Profession Quest Item
bounty_hunter_1a	class_bountyhunter_phase2_03						***Class Specific: Level 30 weapon
bounty_hunter_1a	class_bountyhunter_phase2_04						
bounty_hunter_1a	class_bountyhunter_phase2_05						***Class Specific: Ring
bounty_hunter_1a	class_bountyhunter_phase2_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_bounty_hunter_30_n	object/tangible/quest/quest_start/profession_bounty_hunter_30.iff			Profession Quest Item
bounty_hunter_1a	class_bountyhunter_phase3_novice						
bounty_hunter_1a	class_bountyhunter_phase3_02						***Class Specific: Level 50 weapon
bounty_hunter_1a	class_bountyhunter_phase3_03						
bounty_hunter_1a	class_bountyhunter_phase3_04						
bounty_hunter_1a	class_bountyhunter_phase3_05						
bounty_hunter_1a	class_bountyhunter_phase3_master						***Class Specific: Neck
bounty_hunter_1a	class_bountyhunter_phase4_novice						
bounty_hunter_1a	class_bountyhunter_phase4_02						
bounty_hunter_1a	class_bountyhunter_phase4_03						***Class Specific: Long Re-use Clicky
bounty_hunter_1a	class_bountyhunter_phase4_04						
bounty_hunter_1a	class_bountyhunter_phase4_05						
bounty_hunter_1a	class_bountyhunter_phase4_master						***Class Specific: Belt
commando_1a	class_commando_phase1_novice						
commando_1a	class_commando_phase1_02						
commando_1a	class_commando_phase1_03						
commando_1a	class_commando_phase1_04						***Class Specific: Specialty Backpack
commando_1a	class_commando_phase1_05	appearance/eqp_notebook_s01.apt	@obj_n:profession_commando_10_n	object/tangible/quest/quest_start/profession_commando_10.iff			Profession Quest Item
commando_1a	class_commando_phase1_master						
commando_1a	class_commando_phase2_novice				armor_wookiee_roadmap_chest_02_03,armor_wookiee_roadmap_leggings_02_03,armor_wookiee_roadmap_bicep_l_02_03,armor_wookiee_roadmap_bicep_r_02_03,armor_wookiee_roadmap_bracer_l_02_03,armor_wookiee_roadmap_bracer_r_02_03	armor_ithorian_roadmap_chest_02_03,armor_ithorian_roadmap_leggings_02_03,armor_ithorian_roadmap_helmet_02_03,armor_ithorian_roadmap_bicep_l_02_03,armor_ithorian_roadmap_bicep_r_02_03,armor_ithorian_roadmap_bracer_l_02_03,armor_ithorian_roadmap_bracer_r_02_03,armor_ithorian_roadmap_gloves_02_03,armor_ithorian_roadmap_boots_02_03	***Class Specific: Starting Armor Set
commando_1a	class_commando_phase2_02	appearance/eqp_notebook_s01.apt	@obj_n:profession_commando_20_n	object/tangible/quest/quest_start/profession_commando_20.iff			Profession Quest Item
commando_1a	class_commando_phase2_03						***Class Specific: Level 30 weapon
commando_1a	class_commando_phase2_04						
commando_1a	class_commando_phase2_05						***Class Specific: Ring
commando_1a	class_commando_phase2_master	appearance/eqp_notebook_s01.apt	@obj_n:profession_commando_30_n	object/tangible/quest/quest_start/profession_commando_30.iff			Profession Quest Item
commando_1a	class_commando_phase3_novice						
commando_1a	class_commando_phase3_02						***Class Specific: Level 50 weapon
commando_1a	class_commando_phase3_03						
commando_1a	class_commando_phase3_04						
commando_1a	class_commando_phase3_05						
commando_1a	class_commando_phase3_master						***Class Specific: Neck
commando_1a	class_commando_phase4_novice						
commando_1a	class_commando_phase4_02						
commando_1a	class_commando_phase4_03						***Class Specific: Long Re-use Clicky
commando_1a	class_commando_phase4_04						
commando_1a	class_commando_phase4_05						
commando_1a	class_commando_phase4_master						***Class Specific: Belt
smuggler_1a	class_smuggler_phase1_novice						
smuggler_1a	class_smuggler_phase1_02						
smuggler_1a	class_smuggler_phase1_03						
